Название вакансии,Название компании,зарплата,ссылка на вакансию
Junior Fullstack Разработчик (JS + SQL),Рекрутинговое агентство The One,90 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106048050?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист (Fullstack),ООО МонАрх-АйТи,150 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/106007369?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Фудтех Солюшенс,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106020244?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Сеть розничных магазинов Добрынинский. Кондитерская и гастрономия.,300 000 – 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/105807471?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,АНО ДПО Ведантика,от 120 000 ₽ на руки,https://hh.ru/vacancy/105883262?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ООО АВЕКС,150 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/105217824?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C -Bitrix/Бэкенд разработчик/Фронтенд разработчик,Villeroy & Boch Tableware division,от 100 000 ₽ на руки,https://adsrv.hh.ru/click?b=1155622&place=35&meta=7Nr1LLCaFu43ayilUiWMJq420NBru_ownmcnxRLDTfcJ6mOtNw_thTZqf0G_7MHPsibrbMVpXmWsd2WEQe0Rdc779oM0pYoTaNvkmQhAYW0Z0vmApvr0dlByBpswdjmI5ZP5cBaxJktF1aeoPwJ8uyLgZmcGxw1qBdI-iw0jDyIv127EHXKiQttAROenPCxSws7-1VFuGlkFbr9vHpsojbVa_aaS0K-gm3E43QQBgrCJJXnlV0onOxpRMnegau-n7AwevBNuznB7mOqRmHzCs6Uk3ExxjI_lbXWa2r1vZcXmohmhKRZyA2VdvYOM57nr7ArMR5n6VrubHgDOsmSC3G0_eopwTI9DYTgI_ZxrXgr494ehMdfjSagjjwIULlRv-xsZ2YI8QuBlDRVyc1g2UnA2mq_7UkDAjQ7M2Segk1qlmHz7375mGVZMT2Ex97SagmozDzOAxmv0BlhbnSwgD3ZSybIU8MkLRqiR3T7iUAiEIA7WaAYk4GhY4yfYqrlwt9SzpPObtJqF7DAGMgm6_w%3D%3D&clickType=link_to_vacancy
Программист С++ Senior,ООО Дубайт,400 000 – 700 000 ₽ на руки,https://hh.ru/vacancy/103767759?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web разработчик / программист сайтов,ООО Флайлинк,100 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/105944290?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,АО Всероссийский научно-исследовательский институт радиотехники (ВНИИРТ),100 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/106003362?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (удаленно),ООО Бизнес Ай Ти,130 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105968487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Back-end разработчик/Бэкенд программист,ООО Мегахант,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106008085?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C/C++,АО Всероссийский научно-исследовательский институт радиотехники (ВНИИРТ),150 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105984930?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Разработчик 1С,Деснол Софт,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/106034248?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист,ООО УК Автодор,от 100 000 ₽ на руки,https://hh.ru/vacancy/105439832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик ЕRP,Космос,от 230 000 ₽ на руки,https://hh.ru/vacancy/105295128?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# Разработчик,Photo Lab,от 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105346960?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C#,"Ситилаб, Научно-методический центр клинической лабораторной диагностики",229 900 – 286 890 ₽ до вычета налогов,https://hh.ru/vacancy/105539370?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С#,АО «СОЮЗСНАБ»,200 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/105945701?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист для U-Boot PowerPC,СОФИТ,от 200 000 ₽ на руки,https://hh.ru/vacancy/106069595?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С#,ООО СТОУН-XXI,от 130 000 ₽ на руки,https://hh.ru/vacancy/105480989?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior разработчик Haskell - программист Haskell,ООО Гетшоптв,80 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/104987203?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-программист,ООО Сервисэксперт,от 170 000 ₽ на руки,https://hh.ru/vacancy/105539373?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,Elastcode Limited,80 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105164189?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик-Программист 1С,ООО Виктория - Софт,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105976702?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в проектный отдел (удаленно),AXELSOFT,200 000 – 260 000 ₽ на руки,https://hh.ru/vacancy/106097304?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
