Название вакансии,Название компании,зарплата,ссылка на вакансию
Программист Битрикс24,Твой выбор,от 120 000 ₽ на руки,https://hh.ru/vacancy/99721322?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С,ООО Венеция Стоун,до 250 000 ₽ на руки,https://hh.ru/vacancy/102096079?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP Backend Developer,i-Sys Labs,200 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104627740?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (ПЛИС),АО Аэроприбор-Восход,от 140 000 ₽ на руки,https://hh.ru/vacancy/96999013?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstaск-разработчик (middle),Финам (ООО Регион Плюс),от 80 000 ₽ до вычета налогов,https://hh.ru/vacancy/105746588?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Developer,AzaliaNow,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105878603?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (робототехника),ООО Невлабс,150 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105520973?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист 1С,ФГБОУ ВО Национальный Исследовательский Университет МЭИ,до 50 000 ₽ на руки,https://hh.ru/vacancy/99800510?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист Python,AERODISK,140 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105784337?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик ( OFFLINE ),ГК АВТОРУСЬ,300 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/106101575?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PL/pgSQL (middle),ООО Контур Компонентс,150 000 – 180 000 ₽ до вычета налогов,https://hh.ru/vacancy/105694714?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ (Junior),ООО Дубайт,до 130 000 ₽ на руки,https://hh.ru/vacancy/93563062?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Московский Технологический Институт,от 200 000 ₽ на руки,https://hh.ru/vacancy/94390984?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С:БП (ЗУП 3.1 КОРП),ООО КСА,250 000 – 320 000 ₽ на руки,https://hh.ru/vacancy/106090606?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Full stack разработчик,ООО Городской информационный центр Инфосити,до 350 000 ₽ на руки,https://hh.ru/vacancy/106004946?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик в офис/Разработчик .NET (C#),Happy Hamster,от 190 000 ₽ на руки,https://hh.ru/vacancy/106045896?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer (Node.js),Fundraise Up,3 800 – 6 300 $ до вычета налогов,https://hh.ru/vacancy/86562075?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист – разработчик 1С \ Руководитель проекта по разработке и внедрению 1С,ООО Олимп-Транс,от 200 000 ₽ на руки,https://hh.ru/vacancy/105465776?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C,ООО ФАЙВ ЛЕМОНС ГРУПП,от 150 000 ₽ на руки,https://hh.ru/vacancy/105627785?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C / Разработчик 1С / Интегратор,ООО РеКом,от 200 000 ₽ на руки,https://hh.ru/vacancy/106117144?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С (Middle),ООО Умные Решения,150 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105545046?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик на Rust | Senior Rust Developer,OQTACORE,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/104655367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров,DORS,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/99154152?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Cтажер - Системный аналитик,ООО Автомакон,до 25 000 ₽ до вычета налогов,https://hh.ru/vacancy/104802298?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ООО Спецтех Фаворит,100 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105726335?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С разработчик,Kvando Technologies,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105634857?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик (PHP),ООО Джем-Софт,от 150 000 ₽ на руки,https://hh.ru/vacancy/105378405?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Go (backend),Avanpost,до 450 000 ₽ до вычета налогов,https://hh.ru/vacancy/105454394?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С (Senior),BINOM,200 000 – 280 000 ₽ на руки,https://hh.ru/vacancy/103031454?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С 8.3 (Комплексная автоматизация 2),Фабрика обуви,220 000 – 240 000 ₽ на руки,https://hh.ru/vacancy/105858178?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник системного администратора/программист,ASPKCAPITAL,80 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/104147959?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Middle,ООО Дубайт,180 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/103767820?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior PHP-программист / Backend Developer,ООО СИНЬЮС,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104584215?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C++ (Middle +),ООО АйТи Сервис Менеджмент,от 300 000 ₽ на руки,https://hh.ru/vacancy/104842726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Петровский и К,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104690379?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик сайтов на Bitrix удаленно,Веоникс,140 000 – 240 000 ₽ на руки,https://hh.ru/vacancy/106076217?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик PHP,ООО Автомакон,от 206 000 ₽ до вычета налогов,https://hh.ru/vacancy/103919027?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ООО ЭКСПОДАТ,80 000 – 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/104589411?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Fullstack разработчик (PHP,JavaScript)",ООО Лидфактор,до 170 000 ₽ до вычета налогов,https://hh.ru/vacancy/104470110?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Custom Developer (JS),PravoTech,до 170 000 ₽ на руки,https://hh.ru/vacancy/104629464?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Developer Middle,PravoTech,до 175 000 ₽ на руки,https://hh.ru/vacancy/104639779?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик гибридных приложений для мобильных платформ,ООО Термика,280 000 – 395 000 ₽ до вычета налогов,https://hh.ru/vacancy/105641347?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажёр Backend Developer в команду GR,"VK, ID",до 60 000 ₽ на руки,https://hh.ru/vacancy/105873409?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (Yii2) для техподдержки сайтов,ООО Фитосила,от 100 000 ₽ на руки,https://hh.ru/vacancy/105663132?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик программного обеспечения,АО Астрономический Научный Центр,от 150 000 ₽ на руки,https://hh.ru/vacancy/105650944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик в IT-компанию (middle),Selsup,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104525400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Wordpress разработчик,ООО Вебтехнологии,70 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105218367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик C# / Senior Developer C#,"Бурстройпроект, ОКБ",200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105785832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (Backend и Frontend),ООО Фаззи Лоджик Лабс,от 250 000 ₽ на руки,https://hh.ru/vacancy/104647412?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1C-Bitrix разработчик / Битрикс24 разработчик,Nextremum,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105687264?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем (Embedded Software Developer),АО ЭЛАРА,от 200 000 ₽ на руки,https://hh.ru/vacancy/102675377?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-схемотехник,ООО ВКО Медпром,160 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105920940?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Bitrix/Bitrix24 разработчик,Студия «Adinadin»,до 150 000 ₽ на руки,https://hh.ru/vacancy/105336460?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С / Ведущий программист 1С,ИП Мухин Алексей Валерьевич,до 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/106065238?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C IT департамента,МосТАБАК,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105879393?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Solidity Developer,ArtVolkov.ru,900 000 – 1 200 000 ₽ на руки,https://hh.ru/vacancy/105598412?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик NodeJS,CODUP PRO,70 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/105288291?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Dart/Flutter Developer,International Service Management,2 000 – 2 000 $ до вычета налогов,https://hh.ru/vacancy/105874654?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Консультант 1С,ООО РекаФМ,200 000 – 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/104659309?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (senior),Туроператор Русь,230 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/104529806?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ООО Puzzle English,от 150 000 ₽ на руки,https://hh.ru/vacancy/104955726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C,"Созидание и Развитие, Аудиторско-консалтинговая группа",170 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/103488987?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-developer NodeJS,ООО МСН Телеком,от 150 000 ₽ на руки,https://hh.ru/vacancy/106113258?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С (ДО),ООО КСА,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105833990?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Артпласт,до 300 000 ₽ на руки,https://hh.ru/vacancy/105753032?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик SQL,ООО Арте,200 000 – 500 000 ₽ до вычета налогов,https://hh.ru/vacancy/105144487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (собственная разработка),ПМСОФТ,150 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/91993564?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Backend Developer (Python и SQL),e-Comet,150 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/104934376?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист микроконтроллеров / Junior Embedded Developer,ООО Майсимтех,150 000 – 210 000 ₽ до вычета налогов,https://hh.ru/vacancy/105993757?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack JavaScript Разработчик,KeyHabits,180 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/104720155?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров (ведущий программист),АО Российские космические системы,до 130 000 ₽ на руки,https://hh.ru/vacancy/92121751?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер программист C (Linux Embedded),АО Innovation Weapons Techologies,от 250 000 ₽ на руки,https://hh.ru/vacancy/105926882?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Flutter\Dart для iOS,ООО ВФМ Технолоджи,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105851705?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend разработчик JS/React,Деснол Софт,от 175 000 ₽ до вычета налогов,https://hh.ru/vacancy/105301808?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,Ай-Ком,от 180 000 ₽ на руки,https://hh.ru/vacancy/105436914?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С/Ведущий программист 1С ERP (дистанционно),ООО Программный Инжиниринг и Технологии,до 230 000 ₽ на руки,https://hh.ru/vacancy/105313732?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник PHP-программиста / Начинающий специалист в IT,АнЛан,90 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/104570600?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С# / .NET Core,Клируэй Текнолоджис,220 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/106002302?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ООО Амтел-софт,от 150 000 ₽ на руки,https://hh.ru/vacancy/98923284?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (middle),МКСКОМ,от 150 000 ₽ на руки,https://hh.ru/vacancy/94034396?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ООО Серчбустер,125 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106003287?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист Node.js (Senior),Kodix,от 230 000 ₽ на руки,https://hh.ru/vacancy/104435543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист РНР/Разработчик Битрикс24,TextileData,150 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/106024522?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack программист-разработчик Laravel/React JavaScript,ООО Мегахант,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106018209?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-специалист 1С,ООО МПБ Ритейл Групп,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105795671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик,Aiti Guru,от 70 000 ₽ на руки,https://hh.ru/vacancy/105759172?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Bitrix,СТРОЙ-CITY,от 150 000 ₽ на руки,https://hh.ru/vacancy/104610397?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Трианон-Сервис,от 250 000 ₽ на руки,https://hh.ru/vacancy/97627100?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Next.js),ООО ЕГЭLand,от 80 000 ₽ на руки,https://hh.ru/vacancy/105809241?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (Промет-Сосенки, Москва)",ПРОМЕТ,от 200 000 ₽ на руки,https://hh.ru/vacancy/86609354?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Angular developer,"iiko, Компания Aйко",от 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105762963?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С+Системный администратор,ООО СЗ Бест-Проект,200 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/105941985?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Developer Ruby on Rails,Edstein llc,70 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105221457?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Ведущий программист (1С УТ, Розница)",Беру Выходной,от 250 000 ₽ на руки,https://hh.ru/vacancy/105757097?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C (Внедрение),Первый Бит,до 250 000 ₽ на руки,https://hh.ru/vacancy/102528545?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,UNITED,до 250 000 ₽ на руки,https://hh.ru/vacancy/105815324?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий Программист 1C,Астор,от 180 000 ₽ на руки,https://hh.ru/vacancy/101257374?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack Developer под Wordpress,Нек. орг. АНО ДПО ЦПКПП,110 000 – 130 000 ₽ на руки,https://hh.ru/vacancy/106117116?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
